customer_id,first_name,last_name,city,email,phone_number
1,James,Smith, IL,jsmith1@customer.com,555-190-3233
2,James,Johnson, IL,jjohnson2@customer.com,555-525-8357
3,James,Williams, IL,jwilliams3@customer.com,555-933-4447
4,James,Brown, IL,jbrown4@customer.com,555-897-0326
5,James,Jones, IL,jjones5@customer.com,555-762-5836
6,James,Garcia, IL,jgarcia6@customer.com,555-582-5709
7,James,Miller, IL,jmiller7@customer.com,555-195-1985
8,James,Davis, IL,jdavis8@customer.com,555-416-2205
9,James,Rodriguez, IL,jrodriguez9@customer.com,555-880-8679
10,James,Martinez, IL,jmartinez10@customer.com,555-283-4564
11,James,Hernandez, IL,jhernandez11@customer.com,555-279-8494
12,James,Lopez, IL,jlopez12@customer.com,555-284-2248
13,James,Gonzalez, IL,jgonzalez13@customer.com,555-224-3907
14,James,Wilson, IL,jwilson14@customer.com,555-651-0888
15,James,Anderson, IL,janderson15@customer.com,555-928-1269
16,James,Thomas, IL,jthomas16@customer.com,555-764-7525
17,James,Taylor, IL,jtaylor17@customer.com,555-432-3796
18,James,Moore, IL,jmoore18@customer.com,555-585-8964
19,James,Jackson, IL,jjackson19@customer.com,555-981-0349
20,James,Martin, IL,jmartin20@customer.com,555-648-6689
21,James,Peter, IL,jpeter21@customer.com,555-298-7370
22,James,Victoria, IL,jvictoria22@customer.com,555-777-8852
23,James,Raymond, IL,jraymond23@customer.com,555-453-6709
24,James,Julia, IL,jjulia24@customer.com,555-366-5637
25,James,Scott, IL,jscott25@customer.com,555-181-1932
26,James,Grace, IL,jgrace26@customer.com,555-019-0071
27,James,Dennis, IL,jdennis27@customer.com,555-137-9377
28,James,Evelyn, IL,jevelyn28@customer.com,555-069-0197
29,James,Gregory, IL,jgregory29@customer.com,555-887-3481
30,James,Anna, IL,janna30@customer.com,555-563-7565
31,James,Walter, IL,jwalter31@customer.com,555-033-4018
32,James,Rose, IL,jrose32@customer.com,555-244-5569
33,James,Patrick, IL,jpatrick33@customer.com,555-666-4228
34,James,Judith, IL,jjudith34@customer.com,555-779-8995
35,James,Henry, IL,jhenry35@customer.com,555-150-0658
36,James,Christina, IL,jchristina36@customer.com,555-589-6120
37,James,Douglas, IL,jdouglas37@customer.com,555-318-4273
38,James,Maria, IL,jmaria38@customer.com,555-479-9998
39,James,Harold, IL,jharold39@customer.com,555-535-1841
40,James,Nicole, IL,jnicole40@customer.com,555-386-3801
41,James,Alexander, IL,jalexander41@customer.com,555-334-9898
42,James,Megan, IL,jmegan42@customer.com,555-923-9373
43,James,Samuel, IL,jsamuel43@customer.com,555-963-8196
44,James,Dorothy, IL,jdorothy44@customer.com,555-967-4371
45,James,Frank, IL,jfrank45@customer.com,555-004-8102
46,James,Sophia, IL,jsophia46@customer.com,555-596-0484
47,James,Lawrence, IL,jlawrence47@customer.com,555-934-7865
48,James,Alice, IL,jalice48@customer.com,555-612-2827
49,James,Arthur, IL,jarthur49@customer.com,555-400-4816
50,James,Ruth, IL,jruth50@customer.com,555-930-8392
51,James,Philip, IL,jphilip51@customer.com,555-092-6976
52,James,Diana, IL,jdiana52@customer.com,555-202-2321
53,James,Roger, IL,jroger53@customer.com,555-886-3894
54,James,Natalie, IL,jnatalie54@customer.com,555-662-5380
55,James,Benjamin, IL,jbenjamin55@customer.com,555-918-6271
56,James,Virginia, IL,jvirginia56@customer.com,555-531-0721
57,James,Bruce, IL,jbruce57@customer.com,555-965-3685
58,James,Madison, IL,jmadison58@customer.com,555-316-5957
59,James,Adam, IL,jadam59@customer.com,555-164-7552
60,James,Abigail, IL,jabigail60@customer.com,555-576-1157
61,James,Gerald, IL,jgerald61@customer.com,555-807-4823
62,James,Lauren, IL,jlauren62@customer.com,555-128-8807
63,James,Keith, IL,jkeith63@customer.com,555-792-0539
64,James,Isabella, IL,jisabella64@customer.com,555-123-4149
65,James,Terry, IL,jterry65@customer.com,555-245-3046
66,James,Jane, IL,jjane66@customer.com,555-503-4760
67,James,Wayne, IL,jwayne67@customer.com,555-809-3735
68,James,Amy, IL,jamy68@customer.com,555-268-3976
69,James,Ralph, IL,jralph69@customer.com,555-039-4112
70,James,Cynthia, IL,jcynthia70@customer.com,555-249-4491
71,James,Smith, CA,jsmith71@customer.com,555-260-1649
72,James,Johnson, CA,jjohnson72@customer.com,555-030-1759
73,James,Williams, CA,jwilliams73@customer.com,555-126-7689
74,James,Brown, CA,jbrown74@customer.com,555-119-6935
75,James,Jones, CA,jjones75@customer.com,555-032-0549
76,James,Garcia, CA,jgarcia76@customer.com,555-831-7733
77,James,Miller, CA,jmiller77@customer.com,555-713-8738
78,James,Davis, CA,jdavis78@customer.com,555-213-6332
79,James,Rodriguez, CA,jrodriguez79@customer.com,555-676-3901
80,James,Martinez, CA,jmartinez80@customer.com,555-761-1610
81,James,Hernandez, CA,jhernandez81@customer.com,555-104-5650
82,James,Lopez, CA,jlopez82@customer.com,555-100-8488
83,James,Gonzalez, CA,jgonzalez83@customer.com,555-630-0957
84,James,Wilson, CA,jwilson84@customer.com,555-642-8378
85,James,Anderson, CA,janderson85@customer.com,555-666-3252
86,James,Thomas, CA,jthomas86@customer.com,555-378-0250
